Page,Item,Title,Date
8,2,"홍천군, 2024 농촌 지도 사업 자체 평가회 개최",2024/09/12
8,3,2024 홍천목재정원박람회 오는 23일부터 홍천읍 신장대리서 개최,2024/09/12
8,4,"홍천군, 새로운 홍천 추진위원회 정책 세미나 개최",2024/09/12
8,5,"홍천군, 자살 예방의 날 기념행사 개최",2024/09/12
8,6,"홍천군, 고객 만족 행정 구현 인허가 대행업체 간담회 개최",2024/09/12
8,7,"홍천군, 2025년 재해위험지역 정비사업 ‘국도 비 총 161억 원’ 확보",2024/09/12
8,8,"“댕냥이도 안 챙기면 섭섭해요”…영양제부터 입욕제까지 한가위 선물, 나보다 낫네",2024/09/12
8,9,강원 밤사이 교통사고 잇따라…5명 부상,2024/09/12
8,10,강원 7080 문해학습자 한자리…갈고 닦은 실력 뽐냈다,2024/09/12
9,1,"김진태 지사, 추석 명절 앞두고 제11기동사단 방문",2024/09/12
9,2,홍천 농촌활력촉진지구 개발 후보지 면적 ‘영귀미면’ 최대,2024/09/12
9,3,“유명 정치인과 친하다”…식사비·인사비 가로챈 70대 벌금형,2024/09/12
9,4,강원 홍천 호우주의보…강릉은 호우주의보 해제,2024/09/11
9,5,홍천 중앙고속도로서 탑차가 트럭 추돌…40대 부상,2024/09/11
9,6,"도장애인체육회, 2024 보치아 어울림대회 개최",2024/09/11
9,7,삼척에 호우주의보 발효… 원주 등 3곳 폭염주의보 유지,2024/09/11
9,8,홍천 중앙고속도로서 탑차가 트럭 추돌…40대 부상,2024/09/11
9,9,"김진태 지사, 추석 명절 홍천 전통시장과 11사단 찾아 위문",2024/09/11
9,10,"김진태 지사, 추석 명절 맞아 11사단 방문 격려",2024/09/11
10,1,"김진태 지사 ""어르신 여러분! 스마트경로당 참 좋죠?""",2024/09/11
10,2,횡성·강릉 등 강원 12곳 폭염주의보 해제,2024/09/11
10,3,"김진태 지사, 추석 앞두고 제11사단 군부대 위문",2024/09/11
10,4,"홍천군 “추석 연휴 문 여는 병·의원, 약국 확인하세요”",2024/09/11
10,5,"김진태 강원지사, 2024강원문해자랑 대잔치 참가 어르신 격려",2024/09/11
10,6,"김진태 지사, 추석 명절 맞아 11사단 방문 격려",2024/09/11
10,7,"횡성군, 제5925부대와 상호협력 지원 업무협약 체결",2024/09/11
10,8,"신영재 홍천군수, 노인 일자리 사업 및 사회활동 지원사업 문화활동 참석",2024/09/11
10,9,"홍천군, 새로운 방식의 조사료 생산장비 도입",2024/09/11
10,10,"홍천군, 2024 홍천목재정원박람회 개최",2024/09/11
11,1,강원특별자치도 자연환경연구공원 ‘가을 단풍길 걷기행사’ 개최,2024/09/11
11,2,김진태 지사 “새로운 인생의 시작을 축하드린다”,2024/09/11
11,3,"강원자연환경연구공원, 가을 단풍길 걷기 행사",2024/09/11
11,4,2024년 강원 문해자랑 대잔치 '청춘만개' 홍천서 개최,2024/09/11
11,5,홍천읍내 낡은 도시계획도로 18억 들여 새단장,2024/09/11
11,6,[포토뉴스] 홍천군 3분기 안전보건교육,2024/09/11
11,7,[포토뉴스] 홍천 2024년 청년 리더 교육 개강식,2024/09/11
11,8,홍천읍 시가지 인도 정비·아스콘 포장 등 도로환경 개선사업 추진,2024/09/11
11,9,"홍천군, 2024년 청년 리더 교육 실시",2024/09/11
11,10,"홍천군, 홍천읍 시가지 도로 환경 개선 ‘주민 안전 복지 향상’",2024/09/11
12,1,"홍천군, 추석 연휴 종합대책 추진",2024/09/11
12,2,"홍천농협, 홍천강 수라쌀 소비촉진 캠페인·고향사랑 기부제 홍보",2024/09/11
12,3,홍천 지역사회 힘모아 어려운 이웃 귀향 도와,2024/09/11
12,4,홍천휴게소→홍천찰옥수수 휴게소 명칭 변경 추진,2024/09/11
12,5,[동정] 이형주 홍천군노인회장,2024/09/10
12,6,"병원 전전하던 60대 기초수급자, 고향 홍천이 품었다",2024/09/10
12,7,제29회 강원특별자치도 사물놀이경연대회 개막 [자막뉴스],2024/09/10
12,8,[포토뉴스] 홍천군 제10회 남면 면민의 날 한마당 큰잔치 개최,2024/09/10
